source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
DIFITOMA,0,ABUCASIS_TIP_VARIABL,Difficulty in making?,37018475,SNOMED,1970-01-01,2099-12-31,
REQENR,0,ABUCASIS_TIP_VARIABL,energy requirements,4022415,SNOMED,1970-01-01,2099-12-31,
ITBI,0,ABUCASIS_TIP_VARIABL,Index ankle / left arm,40489833,SNOMED,1970-01-01,2099-12-31,
ITBD,0,ABUCASIS_TIP_VARIABL,Index ankle / right arm,40489833,SNOMED,1970-01-01,2099-12-31,
PROB_5,0,ABUCASIS_TIP_VARIABL,problem detected,46234711,LOINC,1970-01-01,2099-12-31,
PROB_2,0,ABUCASIS_TIP_VARIABL,problem detected,46234711,LOINC,1970-01-01,2099-12-31,
PROB_4,0,ABUCASIS_TIP_VARIABL,problem detected,46234711,LOINC,1970-01-01,2099-12-31,
PROB_3,0,ABUCASIS_TIP_VARIABL,problem detected,46234711,LOINC,1970-01-01,2099-12-31,
-2,0,ABUCASIS_TIP_VARIABL,[No reference],0,,1970-01-01,2099-12-31,
EDAD,0,ABUCASIS_TIP_VARIABL,Age,3022304,LOINC,1970-01-01,2099-12-31,
SPO2,0,ABUCASIS_TIP_VARIABL,Blood oxygen saturation,37398626,SNOMED,1970-01-01,2099-12-31,
CP,0,ABUCASIS_TIP_VARIABL,C.P,3043579,LOINC,1970-01-01,2099-12-31,
CAIULTAN,0,ABUCASIS_TIP_VARIABL,Falls in the last year,4310026,SNOMED,1970-01-01,2099-12-31,
VALOCUMP,0,ABUCASIS_TIP_VARIABL,Evaluation of compliance,4254791,SNOMED,1970-01-01,2099-12-31,
DIREC,0,ABUCASIS_TIP_VARIABL,Address,40759918,LOINC,1970-01-01,2099-12-31,
GLUCAP,0,ABUCASIS_TIP_VARIABL,blood glucose,4120298,SNOMED,1970-01-01,2099-12-31,
TEMPCORP,0,ABUCASIS_TIP_VARIABL,Body temperature,4302666,SNOMED,1970-01-01,2099-12-31,
ELECTRO,0,ABUCASIS_TIP_VARIABL,Electrocardiogram,36308175,LOINC,1970-01-01,2099-12-31,
HGLI,0,ABUCASIS_TIP_VARIABL,Hemoglobin A1C,3004410,LOINC,1970-01-01,2099-12-31,
NOM_APE,0,ABUCASIS_TIP_VARIABL,Name and surname,36304461,LOINC,1970-01-01,2099-12-31,
INFOTRCV,0,ABUCASIS_TIP_VARIABL,Information on cardiovascular risk factors,4179991,SNOMED,1970-01-01,2099-12-31,
PROB_1,0,ABUCASIS_TIP_VARIABL,problem detected,46234711,LOINC,1970-01-01,2099-12-31,
-1,0,ABUCASIS_TIP_VARIABL,[Empty],0,,1970-01-01,2099-12-31,
GCPOST,0,ABUCASIS_TIP_VARIABL,postprandial blood glucose,4116187,SNOMED,1970-01-01,2099-12-31,
PROB_6,0,ABUCASIS_TIP_VARIABL,problem detected,46234711,LOINC,1970-01-01,2099-12-31,
SP02,0,ABUCASIS_TIP_VARIABL,Saturacion 02 Percutaneous,4310328,SNOMED,1970-01-01,2099-12-31,
TAD,0,ABUCASIS_TIP_VARIABL,diastolic blood pressure,4154790,SNOMED,1970-01-01,2099-12-31,
CONSTABA,0,ABUCASIS_TIP_VARIABL,anti-smoking advice (Attention Therapeutic Minima),4021160,SNOMED,1970-01-01,2099-12-31,
PERADB,0,ABUCASIS_TIP_VARIABL,Abdominal perimeter,4245376,SNOMED,1970-01-01,2099-12-31,
TAS,0,ABUCASIS_TIP_VARIABL,Systolic Blood Pressure,4152194,SNOMED,1970-01-01,2099-12-31,
GCB,0,ABUCASIS_TIP_VARIABL,Basal blood glucose,4156660,SNOMED,1970-01-01,2099-12-31,
FRECAR,0,ABUCASIS_TIP_VARIABL,HEARTBEAT,4088121,SNOMED,1970-01-01,2099-12-31,
VALOADVE,0,ABUCASIS_TIP_VARIABL,Rating adverse drug,4288386,SNOMED,1970-01-01,2099-12-31,
PESO,0,ABUCASIS_TIP_VARIABL,Weight,37111521,SNOMED,1970-01-01,2099-12-31,
REVIPIES,0,ABUCASIS_TIP_VARIABL,Review of the feet,4109348,SNOMED,1970-01-01,2099-12-31,
IMC,0,ABUCASIS_TIP_VARIABL,Body Mass Index,4245997,SNOMED,1970-01-01,2099-12-31,
TALLA,0,ABUCASIS_TIP_VARIABL,Size,4177340,SNOMED,1970-01-01,2099-12-31,
ENTR_TSO,0,ABUCASIS_TIP_VARIABL,Delivery TSO stool,45877321,LOINC,1970-01-01,2099-12-31,
CONSEJER,0,ABUCASIS_TIP_VARIABL,Recomendacienes on Physical Exercise,4092935,SNOMED,1970-01-01,2099-12-31,
CONSDIET,0,ABUCASIS_TIP_VARIABL,Recommendations on diet,4170263,SNOMED,1970-01-01,2099-12-31,
