sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:spanish_name,matchScore,mappingStatus,conceptId,comment
902.26,Injuries Of Branches Primary Superior Mesenteric Artery,0,196851,LESION DE RAMAS PRIMARIAS DE LA ARTERIA MESENTERICA SUPERIOR,0.8503928780555725,APPROVED,196851,
576.2,Bile Duct Obstruction,4031,201066,OBSTRUCCION DE CONDUCTO BILIAR,0.8697593212127686,APPROVED,201066,
569.86,Dieulafoy Lesion (Hemorrhagic) Bowel,0,198798,LESION DE DIEULAFOY (HEMORRAGICA) DE INTESTINO,0.8940324783325195,APPROVED,198798,
569.87,Vomiting Fecaloid,0,45757414,VOMITO FECALOIDEO,0.7056972980499268,APPROVED,45757414,
902.27,Bottom Mesenteric Artery Injury,0,199959,LESION DE ARTERIA MESENTERICA INFERIOR,0.6742116212844849,APPROVED,199959,
359.24,Drug-Induced Myotonia,0,73183,MIOTONIA INDUCIDA POR FARMACOS,0.7845625877380371,APPROVED,73183,
359.23,Condrodistrofia Myotonic,0,441280,CONDRODISTROFIA MIOTONICA,0.5713188648223877,APPROVED,441280,
359.22,Myotonia Congenita,0,4212349,MIOTONIA CONGENITA,1.0,APPROVED,4212349,
902.29,Celiac Artery Injuries And Mesenteric (Other),0,195124,LESION DE ARTERIA CELIACA Y MESENTERICA (OTRAS),0.7547339200973511,APPROVED,195124,
902.3,Porta Vein Injuries And Spleen,0,4052200,LESION DE VENAS PORTA Y ESPLENICA,0.6575137972831726,APPROVED,4052200,
959.6,"Trauma Hip O Thigh, Unspecified",4019,44783029,"TRAUMATISMO DE CADERA O MUSLO, NO ESPECIFICADO",0.47041624784469604,APPROVED,44783029,
358.9,Myoneural Unspecified Disorders,0,377263,TRASTORNOS MIONEURALES NO ESPECIFICADOS,0.8470064401626587,APPROVED,377263,
902.31,Vein Injuries And Primary Subdivisions Superior Mesenteric,0,197422,LESION DE VENA MESENTERICA SUPERIOR Y SUBDIVISIONES PRIMARIA,0.8522095680236816,APPROVED,197422,
358.8,Other Specified Disorders Myoneural,0,377263,OTROS TRASTORNOS MIONEURALES ESPECIFICADOS,0.9052173495292664,APPROVED,377263,
902.32,Injuries Of Lower Vena Mesenteric,0,442789,LESION DE VENA MESENTERICA INFERIOR,0.41740548610687256,APPROVED,442789,
358.31,Eaton Lambert Syndrome In Neoplastic Disease,0,43531175,SINDROME DE LAMBERT EATON EN ENFERMEDAD NEOPLASICA,0.7918426990509033,APPROVED,43531175,
902.33,Injury Portal Vein,0,197154,LESION DE VENA PORTA,1.0,APPROVED,197154,
642.4,Preeclampsia Mild Or Nos,745,4062906;444094,PREECLAMPSIA LEVE O NEOM,0.5445617437362671,AUTO_MAPPED,444094,
250.71,Diabetes With Manif. Circ. Peripheral. I Type As Indicated No Uncontrolled,4015,318712,DIABETES CON MANIF. CIRC. PERIF. TIPO I NO INDICADA COMO INCONTROLADA,0.4292719066143036,APPROVED,318712,
482.83,Pneumonia Other Bacteria Gram-Negative,744,258180,NEUMONIA POR OTRAS BACTERIAS GRAM-NEGATIVOS,0.8548951745033264,APPROVED,258180,
902.34,Spleen Vein Injuries,0,197714,LESION DE VENA ESPLENICA,0.6186867952346802,APPROVED,197714,
358.30,"Eaton Lambert Syndrome, Not Specified",0,4237155,"SINDROME DE LAMBERT EATON, NO ESPECIFICADO",0.7750754356384277,APPROVED,4237155,
610.4,Breast Duct Ectasia,744,438808,ECTASIA DE CONDUCTO MAMARIO,0.7880789041519165,APPROVED,438808,
902.39,Other Injuries Of Portal Vein / Spleen,0,4052200,LESION DE OTRA VENA PORTA/ESPLENICA,0.5752152800559998,APPROVED,4052200,
902.4,Kidney Injury Of Blood Vessels,0,195400,LESION DE VASOS SANGUINEOS RENALES,0.6464717984199524,APPROVED,195400,
525.8,Alteration And Other Dental Estruct. Support Specified,4011,201603,OTRA ALTERACION DENTAL Y DE ESTRUCT. DE APOYO ESPECIFICADOS,0.42822569608688354,APPROVED,201603,
902.40,Renal Injury Of Vessel Not Specified,0,195400,LESION DE VASO RENAL NO ESPECIFICADO,0.6806269288063049,APPROVED,195400,
358.3,Eaton Lambert Syndrome,0,4237155,SINDROME DE LAMBERT EATON,1.0,APPROVED,4237155,
358.2,Myoneural Toxic Disorders,0,76396,TRASTORNOS MIONEURALES TOXICOS,0.876694917678833,APPROVED,76396,
808.8,Neom Pelvic Fracture-Closed,4010,77129,FRACTURA DE PELVIS NEOM-CERRADA,0.6117812991142273,APPROVED,77129,
298.1,Type Of Rough Psicosis,3996,4100382,PSICOSIS DE TIPO AGITADO,0.3133663833141327,APPROVED,4100382,
V18.0,Family Hist Of Diabetes Mellitus,3996,4167217,HIST FAMILIAR DE DIABETES MELLITUS,0.0,UNCHECKED,0,
438.7,Vision Disorders,3995,43531583,TRASTORNOS DE LA VISION,0.22939027845859528,APPROVED,43531583,
0DJ68ZZ,,3995,2749125,,0.0,UNCHECKED,0,
93.18,,3984,4029804,,0.0,UNCHECKED,0,
358.1,Sort Myasthenic Syndromes In Diseases. Other Concept.,0,432893,SINDROMES MIASTENICOS EN ENFERMEDADES CLASIF. OTROS CONCEPT.,0.6108789443969727,APPROVED,432893,
902.41,Renal Artery Injury,0,192767,LESION DE ARTERIA RENAL,1.0,APPROVED,192767,
924.2,"Contusion Of Ankle And Foot, Salvo Finger (S) Of Pie",3980,4051770,"CONTUSION DE TOBILLO Y PIE, SALVO DEDO(S) DEL PIE",0.5391305685043335,APPROVED,4051770,
358,Myoneural Toxic Disorders,0,377263,TRASTORNOS MIONEURALES TOXICOS,0.8305184841156006,APPROVED,377263,
368.15,Other Artifacts And Phenomena Entoptics Visuals,3977,380707,OTRAS DISTORSIONES VISUALES Y FENOMENOS ENTOPTICOS,0.6222658753395081,APPROVED,380707,
902.42,Renal Vein Injuries,0,195125,LESION DE VENA RENAL,0.8334659934043884,APPROVED,195125,
250.51,Diabetes With Manif. Ophthalmologist. I Type As Indicated No Uncontrolled,3975,42538169,DIABETES CON MANIF. OFTALM. TIPO I NO INDICADA COMO INCONTROLADA,0.4650380313396454,APPROVED,42538169,
658.81,Otr Alter Cavid / Memb Amniot Ncoc-Parida C / S Pat Antepar / Part,744,438815;4041280,OTR ALTER CAVID/MEMB AMNIOT NCOC-PARIDA C/S PAT ANTEPAR/PART,0.3071238696575165,AUTO_MAPPED,438815,
902.49,Renal Injury Another Glass,0,195400,LESION DE OTRO VASO RENAL,0.41816848516464233,APPROVED,195400,
426.7,Excitement Atrioventricular Anomala,3973,313224,EXCITACION AURICULO-VENTRICULAR ANOMALA,0.7666952013969421,APPROVED,313224,
08DK3ZZ,,3971,2740237,,0.0,UNCHECKED,0,
357.3,Polyneuropathy Malignant Disease,0,378420,POLINEUROPATIA EN ENFERMEDAD MALIGNA,0.9430740475654602,APPROVED,378420,
372.41,Peripheral Pterygium Stationary,744,372646,PTERIGION PERIFERICO ESTACIONARIO,0.9167448282241821,APPROVED,372646,
21.02,,744,4305187,,0.0,UNCHECKED,0,
54.98,,744,4324124,,0.0,UNCHECKED,0,
289.0,Secondary Polycythemia,3970,435790,POLICITEMIA SECUNDARIA,1.0,APPROVED,435790,
279.4,Unrated Autoimmune Disease. Under Another Concept,743,434621,ENFERMEDAD DE AUTOINMUNIDAD NO CLASIF. BAJO OTRO CONCEPTO,0.5597906112670898,APPROVED,434621,
844,Sprains And Strains Knee And Leg,3970,76836,ESGUINCES Y TORCEDURAS DE RODILLA Y PIERNA,0.8692961931228638,APPROVED,76836,
902.5,Injury Of Blood Vessels Ilíacos,0,198019,LESION DE VASOS SANGUINEOS ILIACOS,0.4728432297706604,APPROVED,198019,
J91.0,,743,254390,,0.0,AUTO_MAPPED_TO_1,254390,
Z80.3,,743,4167217,,0.0,UNCHECKED,0,
B96.4,,743,433405,,0.0,AUTO_MAPPED_TO_1,433405,
